schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
1,2026-07-27T05:29:00.581537+00:00,0.02,11,3,10103,20272107,1055,262,85,21,0,295,760,64,198,5,16,142,82,60,3.96282824879745,1.6859551663510501,2.2768730824464,6004,False,[],5985.665752410889,0.6412213740458015,0.5247001262626263,0.5240414347557205,0.7602040816326531,0.20739850929476591,0.6437815656565655,0.5923051056871954,19,45,49,149,0.5714285714285714,0.44375,0.4457478005865103,0.7096774193548387,0.21262879914046984,0.625,0.6035984947398471,1,4,5,11
1,2026-07-27T06:53:14.784681+00:00,0.02,11,4,10103,20272204,1081,236,85,21,0,269,812,90,146,7,14,140,63,77,4.0835452737865126,1.3009147668835794,2.782630506902933,5158,False,[],5052.262753009796,0.6779661016949152,0.6438356164383562,0.6469013308134499,0.7516339869281046,0.21131300986105142,0.7070776255707761,0.6085626979047773,45,45,31,115,0.7619047619047619,0.7142857142857142,0.7214854111405835,0.8275862068965517,0.18636186136477587,0.7653061224489797,0.5572877135487685,4,3,2,12
1,2026-07-27T08:03:35.639179+00:00,0.02,11,5,10103,20272301,1040,277,85,21,0,239,801,120,157,7,14,118,52,66,3.6870134733326267,1.4387028669007123,2.2483106064319145,3843,False,[],4220.712461233139,0.5667870036101083,0.5500796178343949,0.5490068381634646,0.6385542168674698,0.2781044080503452,0.5368895966029723,0.7889878261019175,51,69,51,106,0.6666666666666666,0.6428571428571428,0.6370370370370371,0.7407407407407407,0.22926459315126277,0.6224489795918368,0.6634188702999163,4,3,4,10
1,2026-07-27T09:20:37.260756+00:00,0.02,12,1,11112,20272922,1050,267,85,21,0,243,807,116,151,8,13,150,74,76,4.058808827365283,1.5065714929951355,2.5522373343701474,4795,False,[],4621.43065237999,0.6441947565543071,0.6244861840602878,0.6239157832307807,0.7112462006079028,0.22054526674378247,0.7097225393925554,0.6308883254216741,55,61,34,117,0.6666666666666666,0.6105769230769231,0.6100795755968169,0.7586206896551724,0.20613277501597824,0.75,0.5985442794742264,3,5,2,11
1,2026-07-27T10:12:21.670382+00:00,0.02,12,2,11112,20273019,1060,257,84,22,0,307,753,52,205,4,18,169,95,74,3.8445956701179966,1.8038077391684055,2.040787930949591,3368,False,[],3104.2167098522186,0.7276264591439688,0.6426829268292683,0.6238290398126464,0.8214285714285714,0.17947518801548573,0.7564727954971857,0.5350938066164691,26,26,44,161,0.7272727272727273,0.6388888888888888,0.611764705882353,0.8235294117647058,0.18327294075016273,0.763888888888889,0.5466425714438773,2,2,4,14
1,2026-07-27T11:16:11.201570+00:00,0.02,12,3,11112,20273116,1045,272,85,21,0,275,770,84,188,6,15,150,80,70,3.915590477121441,1.3173585680196993,2.5982319091017416,4210,False,[],3829.3833181858063,0.6507352941176471,0.5662360688956434,0.5680591077010515,0.7570332480818415,0.2298657191411742,0.619807497467072,0.6570698378329577,29,55,40,148,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.7741935483870968,0.2027094785198341,0.6666666666666667,0.5865053683651298,2,4,3,12
1,2026-07-27T12:36:36.100457+00:00,0.02,12,4,11112,20273213,1052,265,85,21,0,319,733,40,225,4,17,130,70,60,3.8133320748238475,1.7291080565191805,2.084224018304667,4885,False,[],4824.73850274086,0.690566037735849,0.7252777777777778,0.6090601611974669,0.7875647668393783,0.18475363950389959,0.8132222222222222,0.5461119767364155,31,9,73,152,0.6666666666666666,0.7941176470588236,0.6370370370370371,0.7407407407407407,0.1887352315415549,0.8529411764705882,0.5611931914841845,4,0,7,10
1,2026-07-27T13:20:11.313390+00:00,0.02,12,5,11112,20273310,1061,256,85,21,0,292,769,67,189,4,17,171,90,81,3.784983186109457,1.281964595487807,2.50301859062165,3009,False,[],2614.677813053131,0.69140625,0.6175866698254757,0.613389153332951,0.7870619946091644,0.1972035100688592,0.720682302771855,0.579926666167634,31,36,43,146,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.8484848484848485,0.18090123214644485,0.8382352941176471,0.546574678951247,2,2,3,14
1,2026-07-27T14:14:36.093551+00:00,0.02,13,1,12121,20273931,1048,269,84,22,0,248,800,111,158,8,14,150,91,59,3.904158500256017,1.699844266870059,2.2043142333859578,3072,False,[],3264.6824543476105,0.7620817843866171,0.7599498232409625,0.7569734613212875,0.7922077922077922,0.1731869045656905,0.8526057703272893,0.5272233675178203,83,28,36,122,0.8636363636363636,0.8392857142857143,0.8482758620689655,0.896551724137931,0.16261403662640614,0.9464285714285714,0.5099635612956385,6,2,1,13
1,2026-07-27T15:27:29.311601+00:00,0.02,13,2,12121,20274028,1041,276,85,21,0,284,757,75,201,5,16,148,75,73,3.8027460565208457,1.6992719355039299,2.103474121016916,4524,False,[],4373.128116369247,0.6159420289855072,0.5440796019900498,0.540231330148353,0.7268041237113402,0.2161454112270776,0.632636815920398,0.6158262217460148,29,46,60,141,0.7142857142857143,0.60625,0.60625,0.8125,0.22184829673977247,0.5875,0.6321246969168683,2,3,3,13
1,2026-07-27T16:44:07.231614+00:00,0.02,13,3,12121,20274125,1093,224,85,21,0,311,782,48,176,3,18,169,100,69,3.9619750910060247,1.5429120524349855,2.419063038571039,4971,False,[],4597.816932678223,0.71875,0.6543560606060606,0.6314923619271445,0.8108108108108109,0.19936792716026736,0.6842447916666667,0.5873147914982335,26,22,41,135,0.7619047619047619,0.7222222222222222,0.6464646464646464,0.8484848484848485,0.1956475830946463,0.6296296296296295,0.5806417944366378,2,1,4,14
1,2026-07-27T17:54:15.885430+00:00,0.02,13,4,12121,20274222,1046,271,85,21,0,295,751,64,207,5,16,157,73,84,3.991698891564738,1.3324826179305092,2.659216273634229,4538,False,[],4208.360732793808,0.7896678966789668,0.6518342391304348,0.6681276184337738,0.8689655172413793,0.1536468762526638,0.7702294685990337,0.4793210653578785,25,39,18,189,0.8571428571428571,0.7,0.7428571428571429,0.9142857142857143,0.14489387081871666,0.8625,0.4633647633761835,2,3,0,16
1,2026-07-27T18:44:55.870289+00:00,0.02,13,5,12121,20274319,1040,277,85,21,0,298,742,61,216,5,16,122,60,62,3.750116198643809,1.3731216217565816,2.3769945768872276,3666,False,[],3039.5613975524902,0.6245487364620939,0.5063372799028536,0.502967563837129,0.748792270531401,0.2294590599276792,0.5374924104432302,0.6596946743092579,18,43,61,155,0.5714285714285714,0.5125,0.49867374005305043,0.6896551724137931,0.224217191164939,0.6,0.6389760114933468,2,3,6,10
