schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp,feature_block
1,2026-09-06T13:48:13.790065+00:00,0.02,5,3,4049,20266053,1036,281,85,21,0,316,720,43,238,3,18,88,0,88,3.943530216234649,0.0,3.943530216234649,1887,False,[],889.6728188991547,0.6690391459074733,0.5092827828805941,0.4980697205416307,0.7910112359550562,0.2049804606446131,0.6211647449677546,0.5951102924549596,12,31,62,176,0.6190476190476191,0.3611111111111111,0.38235294117647056,0.7647058823529411,0.2048897245226105,0.6296296296296297,0.5954084181840132,0,3,5,13,K0
1,2026-09-06T14:14:33.213882+00:00,0.02,5,4,4049,20266150,1053,264,85,21,0,314,739,45,219,3,18,73,0,73,3.9079319366137497,0.0,3.9079319366137497,3123,False,[],1579.3880145549774,0.6477272727272727,0.6111111111111112,0.554045954045954,0.7584415584415585,0.22175734923521398,0.6961948249619482,0.6384348761505845,25,20,73,146,0.7142857142857143,0.6944444444444444,0.60625,0.8125,0.2162040064852556,0.7222222222222223,0.6229053244383275,2,1,5,13,K0
1,2026-09-06T14:33:21.047469+00:00,0.02,5,5,4049,20266247,1073,244,85,21,0,282,791,77,167,6,15,83,0,83,3.9364467008854263,0.0,3.9364467008854263,2231,False,[],1127.8105490207672,0.5655737704918032,0.462166575939031,0.4547600978160047,0.7005649717514124,0.2895588094411682,0.4404697099307878,0.8257727777129245,14,63,43,124,0.6190476190476191,0.48333333333333334,0.475,0.75,0.2621004588970752,0.44444444444444453,0.7411174240768356,1,5,3,12,K0
1,2026-09-06T14:51:17.567158+00:00,0.02,6,1,5058,20266868,1064,253,84,22,0,242,822,117,136,10,12,92,0,92,4.313581262045773,0.0,4.313581262045773,1967,False,[],1076.4844393730164,0.6007905138339921,0.5862870789341378,0.5770001158767734,0.6773162939297125,0.2447752486037704,0.6406485671191553,0.6817784584194698,46,71,30,106,0.6363636363636364,0.6166666666666667,0.6071428571428572,0.7142857142857143,0.2347218410271175,0.6333333333333333,0.6567715801867234,4,6,2,10,K0
1,2026-09-06T15:21:29.966081+00:00,0.02,6,2,5058,20266965,1037,280,85,21,0,315,722,44,236,3,18,60,0,60,3.8148215745168272,0.0,3.8148215745168272,3606,False,[],1812.3751695156097,0.7428571428571429,0.5701078582434514,0.5617391304347826,0.8434782608695652,0.17853704014394992,0.6104583975346687,0.5332091105986383,14,30,42,194,0.8095238095238095,0.611111111111111,0.611111111111111,0.8888888888888888,0.15076190969373662,0.7037037037037037,0.474692346274123,1,2,2,16,K0
1,2026-09-06T15:49:35.694508+00:00,0.02,6,3,5058,20267062,1051,266,85,21,0,305,746,54,212,3,18,70,0,70,3.7922342284582555,0.0,3.7922342284582555,3377,False,[],1685.6940577030182,0.8007518796992481,0.716282320055905,0.7060160567198415,0.8729016786570744,0.15583773972925757,0.8323287910552062,0.4875382864819879,31,23,30,182,0.8571428571428571,0.9166666666666667,0.7878787878787878,0.9090909090909091,0.15301453976826887,0.8518518518518519,0.4852107687296871,3,0,3,15,K0
1,2026-09-06T16:13:07.419401+00:00,0.02,6,4,5058,20267159,1091,226,85,21,0,292,799,67,159,5,16,56,0,56,4.11209312803112,0.0,4.11209312803112,2567,False,[],1411.6905586719513,0.6548672566371682,0.607903876842204,0.60254329004329,0.7467532467532467,0.2291759948734622,0.5984229794424106,0.6713465821469162,33,34,44,115,0.6666666666666666,0.575,0.5689149560117301,0.7741935483870968,0.22151568689602663,0.5625,0.6511653377943649,2,3,4,12,K0
1,2026-09-06T16:31:15.486490+00:00,0.02,6,5,5058,20267256,1025,292,85,21,0,282,743,77,215,5,16,79,0,79,3.6892077375086956,0.0,3.6892077375086956,2121,False,[],1088.0332441329956,0.7602739726027398,0.6913319238900635,0.6913319238900635,0.8372093023255814,0.18181785633250214,0.7646632437330112,0.5450128360521453,42,35,35,180,0.6666666666666666,0.575,0.5689149560117301,0.7741935483870968,0.17580630151300417,0.8,0.5326358570753575,2,3,4,12,K0
1,2026-09-06T16:57:19.190207+00:00,0.02,7,1,6067,20267877,1012,305,84,22,0,288,724,71,234,4,18,68,0,68,3.7532209664350376,0.0,3.7532209664350376,2972,False,[],1563.678793668747,0.7704918032786885,0.6542072950523654,0.6616267275263091,0.8535564853556485,0.1828146985439,0.6228782954135067,0.5596280914563758,31,40,30,204,0.8636363636363636,0.7222222222222222,0.7451737451737452,0.918918918918919,0.16476671405777943,0.5416666666666666,0.5183784584644168,2,2,1,17,K0
1,2026-09-06T17:15:50.437821+00:00,0.02,7,2,6067,20267974,1084,233,85,21,0,304,780,55,178,4,17,92,0,92,4.123424561927095,0.0,4.123424561927095,2470,False,[],1111.2234501838684,0.7639484978540773,0.7261491317671093,0.7023436229763316,0.8377581120943953,0.1688108253750389,0.8090909090909091,0.513255664899012,36,19,36,142,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.9090909090909091,0.1560691277397876,0.8970588235294117,0.4896030273381715,3,1,2,15,K0
1,2026-09-06T17:42:48.071885+00:00,0.02,7,3,6067,20268071,1043,274,85,21,0,259,784,100,174,7,14,76,0,76,3.916775756399147,0.0,3.916775756399147,3080,False,[],1617.5998449325562,0.7445255474452555,0.7095402298850575,0.7151428741163192,0.8066298342541437,0.19152778708866183,0.7692528735632184,0.5685593889616737,58,42,28,146,0.8571428571428571,0.8214285714285714,0.8328912466843501,0.896551724137931,0.178254465110132,0.8673469387755102,0.5443725580942512,5,2,1,13,K0
1,2026-09-06T18:12:33.663326+00:00,0.02,7,4,6067,20268168,1086,231,85,21,0,324,762,35,196,4,17,77,0,77,4.16401299017889,0.0,4.16401299017889,3216,False,[],1785.5566809177399,0.7662337662337663,0.6627551020408162,0.6274193548387097,0.8548387096774194,0.1723063659808012,0.7005830903790087,0.5154152503427533,18,17,37,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.8484848484848485,0.17126867062651144,0.7352941176470589,0.5174557036993347,2,2,3,14,K0
1,2026-09-06T18:33:36.303490+00:00,0.02,7,5,6067,20268265,1043,274,85,21,0,261,782,98,176,7,14,74,0,74,4.0546290293568745,0.0,4.0546290293568745,2399,False,[],1262.6171498298645,0.6496350364963503,0.5825602968460112,0.5823170731707317,0.75,0.2065636911548553,0.6908047309833023,0.5936131620479278,34,64,32,144,0.7142857142857143,0.6071428571428572,0.60625,0.8125,0.20134023261139494,0.6836734693877551,0.5847396822450949,2,5,1,13,K0
1,2026-09-06T19:03:55.657137+00:00,0.02,8,1,7076,20268886,1058,259,84,22,0,281,777,78,181,5,17,76,0,76,3.9502297322178492,0.0,3.9502297322178492,3602,False,[],1819.3197767734528,0.7065637065637066,0.7098030882561269,0.6827208252740167,0.7696969696969697,0.18561861124358858,0.8021674458138546,0.5529765834611502,56,22,54,127,0.7727272727272727,0.7823529411764706,0.7270471464019852,0.8387096774193549,0.15910284679925707,0.8705882352941177,0.4925722618561393,4,1,4,13,K0
1,2026-09-06T19:26:00.957981+00:00,0.02,8,2,7076,20268983,1072,245,85,21,0,301,771,58,187,5,16,69,0,69,4.028715866154016,0.0,4.028715866154016,2997,False,[],1325.267132282257,0.7183673469387755,0.5657385211137747,0.5697268955687342,0.8226221079691517,0.20303685926103437,0.5612668264798082,0.600748891738954,16,42,27,160,0.6666666666666666,0.50625,0.505050505050505,0.7878787878787878,0.20003756475935858,0.5,0.5938054333490752,1,4,3,13,K0
1,2026-09-06T19:47:40.935014+00:00,0.02,8,3,7076,20269080,1065,252,85,21,0,272,793,87,165,6,15,70,0,70,4.0828831230755895,0.0,4.0828831230755895,2570,False,[],1299.9427967071533,0.5992063492063492,0.5390804597701149,0.5391050830269997,0.7055393586005831,0.24955661863654444,0.5568094740508533,0.7070683252767441,30,57,44,121,0.7142857142857143,0.7,0.6785714285714286,0.7857142857142857,0.22438588792909536,0.5444444444444444,0.6454012129124319,4,2,4,11,K0
